date,num_target,num_held,target,held,buy_skipped_limit_up,sold_out
2016-12-01,9,9,300432|002714|002124|300015|002027|002372|000848|600816|600398,000848|002027|002124|002372|002714|300015|300432|600398|600816,,
2017-01-03,9,9,300432|002714|002124|300015|002372|000848|600398|600816|002027,000848|002027|002124|002372|002714|300015|300432|600398|600816,,
2017-02-03,11,11,603866|300432|002714|300357|002124|300015|002372|000848|600398|600816|002027,000848|002027|002124|002372|002714|300015|300357|300432|600398|600816|603866,,
2017-03-01,9,9,300432|002124|300015|002714|002372|000848|600398|600816|002027,000848|002027|002124|002372|002714|300015|300432|600398|600816,,603866|300357
2017-04-05,8,8,002124|300015|002714|002372|000848|002027|600816|600398,000848|002027|002124|002372|002714|300015|600398|600816,,300432
2017-05-02,0,0,,,,002124|300015|002714|002372|000848|002027|600816|600398
2017-06-01,0,0,,,,
2017-07-03,0,0,,,,
2017-08-01,1,1,000036,000036,,
2017-09-01,2,2,000036|002027,000036|002027,,
2017-10-09,2,2,000036|002027,000036|002027,,
2017-11-01,15,15,002749|300595|603866|002867|603568|300015|002714|000036|600507|000848|002372|600641|002050|600398|002027,000036|000848|002027|002050|002372|002714|002749|002867|300015|300595|600398|600507|600641|603568|603866,,
2017-12-01,15,15,002749|300595|603866|002867|603568|300015|000036|002714|000848|002372|600641|600507|002050|600398|002027,000036|000848|002027|002050|002372|002714|002749|002867|300015|300595|600398|600507|600641|603568|603866,,
2018-01-02,12,12,002749|300595|603866|002867|603568|000036|000848|300015|600507|002372|600398|002027,000036|000848|002027|002372|002749|002867|300015|300595|600398|600507|603568|603866,,002714|600641|002050
2018-02-01,13,13,002749|300595|603866|002867|603568|000848|600161|300015|000036|600507|600641|002372|002027,000036|000848|002027|002372|002749|002867|300015|300595|600161|600507|600641|603568|603866,,600398
2018-03-01,14,14,002749|300595|603866|002867|603568|000036|000848|600161|600641|300015|002372|600507|600398|002027,000036|000848|002027|002372|002749|002867|300015|300595|600161|600398|600507|600641|603568|603866,,
2018-04-02,15,15,300640|002749|300595|603568|000036|002714|000848|002108|600641|600507|300015|002372|002050|600398|002027,000036|000848|002027|002050|002108|002372|002714|002749|300015|300595|300640|600398|600507|600641|603568,,603866|002867|600161
2018-05-02,1,1,002709,002709,,002749|300595|603568|000036|000848|600641|600507|300015|002372|600398|002027|300640|002714|002108|002050
2018-06-01,1,1,002709,002709,,
2018-07-02,0,0,,,,002709
2018-08-01,1,1,002709,002709,,
2018-09-03,6,6,002749|002709|300121|002110|600507|300251,002110|002709|002749|300121|300251|600507,,
2018-10-08,7,7,002749|002709|300121|002110|600507|600516|300251,002110|002709|002749|300121|300251|600507|600516,,
2018-11-01,20,20,603871|603701|002833|603027|603638|002709|002749|603357|002867|600738|002677|300121|000789|600596|603568|002110|000848|002626|600507|603025,000789|000848|002110|002626|002677|002709|002749|002833|002867|300121|600507|600596|600738|603025|603027|603357|603568|603638|603701|603871,,300251|600516
2018-12-03,20,20,603871|603701|603027|002833|603638|002749|002709|002867|603357|600738|002677|300121|002110|000789|600596|603568|000848|600507|603025|600801,000789|000848|002110|002677|002709|002749|002833|002867|300121|600507|600596|600738|600801|603025|603027|603357|603568|603638|603701|603871,,002626
2019-01-02,20,20,603871|603701|002833|603027|603638|002709|002749|002867|603357|600738|002677|300121|000789|002110|600596|603568|000848|600507|002626|603025,000789|000848|002110|002626|002677|002709|002749|002833|002867|300121|600507|600596|600738|603025|603027|603357|603568|603638|603701|603871,,600801
2019-02-01,20,20,603871|603701|002833|603027|603638|002749|002709|603357|002867|002677|600738|300121|000789|002110|600596|603568|000848|002626|600507|603025,000789|000848|002110|002626|002677|002709|002749|002833|002867|300121|600507|600596|600738|603025|603027|603357|603568|603638|603701|603871,,
2019-03-01,20,20,603871|603701|603027|603638|002749|002709|603357|002867|002677|600738|300121|000789|002110|600596|603568|000848|603025|600507|600598|000830,000789|000830|000848|002110|002677|002709|002749|002867|300121|600507|600596|600598|600738|603025|603027|603357|603568|603638|603701|603871,,002833|002626
2019-04-01,18,18,603871|603701|603638|002749|002709|603357|300121|600738|002110|000789|603568|000848|603025|600507|600598|601003|600688|601225,000789|000848|002110|002709|002749|300121|600507|600598|600688|600738|601003|601225|603025|603357|603568|603638|603701|603871,,603027|002867|002677|600596|000830
2019-05-06,0,0,,,,603871|603701|603638|002749|002709|603357|300121|600738|002110|000789|603568|000848|603025|600507|600598|601003|600688|601225
2019-06-03,0,0,,,,
2019-07-01,1,1,002458,002458,,
2019-08-01,0,0,,,,002458
2019-09-02,2,2,002746|000672,000672|002746,,
2019-10-08,3,3,002746|002458|000672,000672|002458|002746,,
2019-11-01,20,20,603871|300638|002833|603505|603360|002884|002749|603519|300107|002867|600995|002746|600507|000848|000789|600720|000672|600338|603568|002110,000672|000789|000848|002110|002746|002749|002833|002867|002884|300107|300638|600338|600507|600720|600995|603360|603505|603519|603568|603871,,002458
2019-12-02,20,20,603871|002833|603505|603360|002884|002749|603519|002867|300107|002677|002746|600995|000848|600507|000789|600720|000672|600338|603568|002372,000672|000789|000848|002372|002677|002746|002749|002833|002867|002884|300107|600338|600507|600720|600995|603360|603505|603519|603568|603871,,300638|002110
2020-01-02,15,15,603871|603360|603505|002884|002749|603519|300107|002867|002746|600995|000848|600507|000789|002110|601225,000789|000848|002110|002746|002749|002867|002884|300107|600507|600995|601225|603360|603505|603519|603871,,002833|600720|000672|600338|603568|002677|002372
2020-02-03,20,20,603871|603360|002884|603505|002749|603519|300107|002867|002746|002677|600995|600668|002458|000848|600507|000789|600720|000672|002372|002110,000672|000789|000848|002110|002372|002458|002677|002746|002749|002867|002884|300107|600507|600668|600720|600995|603360|603505|603519|603871,,601225
2020-03-02,17,17,603871|603505|002884|603360|002749|603519|300107|002867|002746|002677|600995|000848|600507|000789|002372|002110|601225,000789|000848|002110|002372|002677|002746|002749|002867|002884|300107|600507|600995|601225|603360|603505|603519|603871,,600668|002458|600720|000672
2020-04-01,19,19,603871|603505|002833|002884|603360|603519|002749|300107|002832|002867|002677|002746|600995|000848|600507|000789|002372|002110|601225,000789|000848|002110|002372|002677|002746|002749|002832|002833|002867|002884|300107|600507|600995|601225|603360|603505|603519|603871,,
2020-05-06,0,0,,,,603871|603505|002884|603360|603519|002749|300107|002867|002677|002746|600995|000848|600507|000789|002372|002110|601225|002833|002832
2020-06-01,0,0,,,,
2020-07-01,0,0,,,,
2020-08-03,0,0,,,,
2020-09-01,0,0,,,,
2020-10-09,0,0,,,,
2020-11-02,6,6,603327|603360|002749|002443|002567|601225,002443|002567|002749|601225|603327|603360,,
2020-12-01,6,6,603327|603360|002749|002443|002567|601225,002443|002567|002749|601225|603327|603360,,
2021-01-04,6,6,603327|603360|002749|002443|002567|601225,002443|002567|002749|601225|603327|603360,,
2021-02-01,8,8,603327|603360|300394|002749|002443|002567|000789|601225,000789|002443|002567|002749|300394|601225|603327|603360,,
2021-03-01,7,7,603327|603360|300394|002749|002443|002567|601225,002443|002567|002749|300394|601225|603327|603360,,000789
2021-04-01,7,7,603327|603360|300394|002749|002443|002567|601225,002443|002567|002749|300394|601225|603327|603360,,
2021-05-06,0,0,,,,603327|603360|300394|002749|002443|002567|601225
2021-06-01,0,0,,,,
2021-07-01,0,0,,,,
2021-08-02,0,0,,,,
2021-09-01,1,0,600571,,600571,
2021-10-08,0,0,,,,
2021-11-01,11,11,603565|002107|600571|002003|002043|600452|000789|000848|600507|002027|601225,000789|000848|002003|002027|002043|002107|600452|600507|600571|601225|603565,,
2021-12-01,11,11,603565|002107|002003|002043|600295|000789|000848|600507|002408|002027|601225,000789|000848|002003|002027|002043|002107|002408|600295|600507|601225|603565,,600571|600452
2022-01-04,8,8,603565|002107|002003|600295|600507|002408|601225|002027,002003|002027|002107|002408|600295|600507|601225|603565,,002043|000789|000848
2022-02-07,10,10,603565|002107|600452|002003|600295|000848|600507|002408|601225|002027,000848|002003|002027|002107|002408|600295|600452|600507|601225|603565,,
2022-03-01,9,9,603565|002107|002003|600452|600295|000848|600507|002408|002027,000848|002003|002027|002107|002408|600295|600452|600507|603565,,601225
2022-04-01,10,10,603565|002105|002107|002003|600452|600295|000848|600507|002408|002027,000848|002003|002027|002105|002107|002408|600295|600452|600507|603565,,
2022-05-05,0,0,,,,603565|002107|002003|600452|600295|000848|600507|002408|002027|002105
2022-06-01,0,0,,,,
2022-07-01,0,0,,,,
2022-08-01,0,0,,,,
2022-09-01,6,6,002825|603519|603002|600867|600873|601919,002825|600867|600873|601919|603002|603519,,
2022-10-10,6,6,002825|603519|603002|600867|600873|601919,002825|600867|600873|601919|603002|603519,,
2022-11-01,20,20,002871|002825|603519|002105|603600|603002|603998|603565|002677|603327|600328|600618|002003|002867|600295|600395|600740|600867|600873|000983,000983|002003|002105|002677|002825|002867|002871|600295|600328|600395|600618|600740|600867|600873|603002|603327|603519|603565|603600|603998,,601919
