date,open,close,high,low,vol
2024-08-19,137.663,137.636,137.663,137.528,41832.000
2024-08-20,137.638,137.614,137.638,137.571,40906.000
2024-08-21,137.613,137.467,137.640,137.455,52970.000
2024-08-22,137.668,137.743,137.745,137.501,21531.000
2024-08-23,137.733,137.944,137.946,137.730,39433.000
2024-08-26,137.940,137.946,138.000,137.819,31747.000
2024-08-27,137.832,137.856,137.946,137.829,41563.000
2024-08-28,137.835,137.901,137.906,137.770,48146.000
2024-08-29,137.901,137.827,137.955,137.820,35408.000
2024-08-30,137.852,137.785,137.878,137.664,32779.000
2024-09-02,138.028,138.106,138.150,137.829,43363.000
2024-09-03,138.157,138.289,138.290,138.059,42128.000
2024-09-04,138.368,138.337,138.486,138.250,42708.000
2024-09-05,138.408,138.423,138.498,138.408,34083.000
2024-09-06,138.406,138.468,138.509,138.338,32606.000
2024-09-09,138.468,138.541,138.719,138.468,10826.000
2024-09-10,138.591,138.659,138.679,138.542,30735.000
2024-09-11,138.660,138.866,138.883,138.657,24002.000
2024-09-12,138.866,138.651,138.912,138.648,15217.000
2024-09-13,138.790,138.845,138.888,138.748,14481.000
2024-09-18,138.979,138.879,138.979,138.845,11386.000
2024-09-19,138.905,138.695,138.920,138.655,26325.000
2024-09-20,138.737,138.794,138.819,138.726,26995.000
2024-09-23,138.828,138.824,138.905,138.806,20696.000
2024-09-24,138.906,138.672,138.968,138.515,23423.000
2024-09-25,138.455,138.997,139.040,138.302,17573.000
2024-09-26,139.141,138.890,139.141,138.830,18483.000
2024-09-27,138.680,138.310,138.680,138.201,9873.000
2024-09-30,137.000,137.844,137.888,135.650,29722.000
2024-10-08,137.049,137.790,138.102,137.049,18848.000
2024-10-09,137.909,138.070,138.500,137.801,24818.000
2024-10-10,138.020,138.398,138.480,138.002,13708.000
2024-10-11,138.485,138.470,138.579,138.350,33894.000
2024-10-14,138.484,138.448,138.580,138.420,32374.000
2024-10-15,138.489,138.484,138.489,138.429,32637.000
2024-10-16,138.534,138.503,138.547,138.467,46099.000
2024-10-17,138.506,138.691,138.700,138.427,52197.000
2024-10-18,138.760,138.537,138.780,138.397,72249.000
2024-10-21,138.537,138.519,138.586,138.424,34468.000
2024-10-22,138.515,138.325,138.550,138.300,17004.000
2024-10-23,138.285,138.186,138.322,138.066,44680.000
2024-10-24,138.199,138.240,138.324,138.199,40460.000
2024-10-25,138.241,138.228,138.250,138.169,48924.000
2024-10-28,138.276,138.255,138.328,138.232,31677.000
2024-10-29,138.282,138.392,138.399,138.270,17659.000
2024-10-30,138.600,138.435,138.600,138.376,19408.000
2024-10-31,138.441,138.424,138.442,138.345,16582.000
2024-11-01,138.528,138.631,138.635,138.477,10652.000
2024-11-04,138.692,138.690,138.713,138.630,14599.000
2024-11-05,138.674,138.678,138.728,138.626,22315.000
2024-11-06,138.683,138.729,138.800,138.683,10041.000
2024-11-07,138.757,138.849,138.880,138.757,20181.000
2024-11-08,138.731,138.902,138.905,138.731,44914.000
2024-11-11,138.925,138.940,138.959,138.877,12833.000
2024-11-12,138.965,139.131,139.150,138.965,18063.000
2024-11-13,139.127,139.130,139.149,139.080,21947.000
2024-11-14,139.133,139.137,139.140,139.057,17297.000
2024-11-15,139.142,139.235,139.325,139.142,10855.000
2024-11-18,139.221,139.160,139.222,139.036,37385.000
2024-11-19,139.158,139.129,139.187,139.058,10371.000
2024-11-20,139.175,139.224,139.234,139.173,16014.000
2024-11-21,139.239,139.311,139.315,139.225,33598.000
2024-11-22,139.355,139.337,139.361,139.289,37658.000
2024-11-25,139.337,139.450,139.451,139.244,13868.000
2024-11-26,139.450,139.423,139.500,139.371,31489.000
2024-11-27,139.400,139.364,139.422,139.356,23838.000
2024-11-28,139.363,139.462,139.467,139.363,29668.000
2024-11-29,139.505,139.539,139.547,139.438,26459.000
2024-12-02,139.687,139.844,139.858,139.539,23929.000
2024-12-03,139.879,139.817,139.928,139.807,32736.000
2024-12-04,139.820,139.938,139.965,139.820,33480.000
2024-12-05,139.935,139.968,139.991,139.820,21527.000
2024-12-06,139.966,139.925,139.990,139.921,76784.000
2024-12-09,139.926,139.937,139.975,139.925,24478.000
2024-12-10,139.880,140.373,140.394,139.851,46065.000
2024-12-11,140.350,140.382,140.416,140.150,31006.000
